Date,Close
1/4/2016,55.04
1/5/2016,54.77
1/6/2016,53.19
1/7/2016,52.15
1/8/2016,51.94
1/11/2016,51.69
1/12/2016,52.01
1/13/2016,50.19
1/14/2016,50.82
1/15/2016,48.79
1/19/2016,48.94
1/20/2016,48.4
1/21/2016,49.69
1/22/2016,52.08
1/25/2016,50.25
1/26/2016,51.67
1/27/2016,52.51
1/28/2016,53.04
1/29/2016,53.52
2/1/2016,53.3
2/2/2016,52.42
2/3/2016,53.73
2/4/2016,54.21
2/5/2016,53.43
2/8/2016,52.81
2/9/2016,51.51
2/10/2016,50.49
2/11/2016,49.98
2/12/2016,51.84
2/16/2016,52.68
2/17/2016,54.47
2/18/2016,54.29
2/19/2016,54.01
2/22/2016,53.97
2/23/2016,53.47
2/24/2016,53.47
2/25/2016,54.2
2/26/2016,54.82
2/29/2016,55.02
3/1/2016,56.59
3/2/2016,56.38
3/3/2016,56.97
3/4/2016,57.22
3/7/2016,57.53
3/8/2016,57.5
3/9/2016,58.54
3/10/2016,58.13
3/11/2016,59.15
3/14/2016,58.88
3/15/2016,58.75
3/16/2016,59.79
3/17/2016,61.05
3/18/2016,60.35
3/21/2016,60.37
3/22/2016,60.39
3/23/2016,59.52
3/24/2016,58.8
3/28/2016,59.5
3/29/2016,60.04
3/30/2016,60.95
3/31/2016,60.69
4/1/2016,60.63
4/4/2016,60.19
4/5/2016,59.66
4/6/2016,59.78
4/7/2016,58.91
4/8/2016,60.28
4/11/2016,61
4/12/2016,62.18
4/13/2016,62.53
4/14/2016,62.67
4/15/2016,63.28
4/18/2016,63.5
4/19/2016,64.6
4/20/2016,64.83
4/21/2016,64.18
4/22/2016,64.83
4/25/2016,64.63
4/26/2016,65.16
4/27/2016,65.38
4/28/2016,64.87
4/29/2016,65.16
5/2/2016,65.14
5/3/2016,63.83
5/4/2016,62.94
5/5/2016,62.66
5/6/2016,62.38
5/9/2016,62.13
5/10/2016,63.16
5/11/2016,63.42
5/12/2016,63.84
5/13/2016,63.41
5/16/2016,63.9
5/17/2016,63.59
5/18/2016,63.38
5/19/2016,62.75
5/20/2016,63.02
5/23/2016,63.14
5/24/2016,63.21
5/25/2016,64.79
5/26/2016,64.55
5/27/2016,63.99
5/31/2016,62.91
6/1/2016,63
6/2/2016,63.1
6/3/2016,64.04
6/6/2016,65.12
6/7/2016,65.59
6/8/2016,65.9
6/9/2016,65.72
6/10/2016,65.12
6/13/2016,64.44
6/14/2016,63.37
6/15/2016,63.25
6/16/2016,62.91
6/17/2016,63.28
6/20/2016,63.99
6/21/2016,64.54
6/22/2016,64.51
6/23/2016,65.33
6/24/2016,62.65
6/27/2016,61.35
6/28/2016,62.88
6/29/2016,63.41
6/30/2016,63.39
7/1/2016,63.73
7/5/2016,63.16
7/6/2016,63.73
7/7/2016,63.26
7/8/2016,63.7
7/11/2016,63.5
7/12/2016,64.33
7/13/2016,64.82
7/14/2016,65.48
7/15/2016,65.52
7/18/2016,65.6
7/19/2016,65.08
7/20/2016,65.15
7/21/2016,64.83
7/22/2016,64.46
7/25/2016,64.26
7/26/2016,64.72
7/27/2016,64.3
7/28/2016,63.77
7/29/2016,64.12
8/1/2016,63.38
8/2/2016,63.11
8/3/2016,63.07
8/4/2016,63.06
8/5/2016,62.95
8/8/2016,63.49
8/9/2016,63.87
8/10/2016,64.05
8/11/2016,64.7
8/12/2016,64.63
8/15/2016,65.01
8/16/2016,65.11
8/17/2016,65.37
8/18/2016,65.57
8/19/2016,65.33
8/22/2016,65.06
8/23/2016,66.94
8/24/2016,66.76
8/25/2016,67.1
8/26/2016,66.78
8/29/2016,66.81
8/30/2016,66.62
8/31/2016,66.3
9/1/2016,66.52
9/2/2016,67.06
9/6/2016,67.45
9/7/2016,67.07
9/8/2016,66.64
9/9/2016,65.61
9/12/2016,65.63
9/13/2016,64.42
9/14/2016,64.36
9/15/2016,65.09
9/16/2016,64.5
9/19/2016,64.61
9/20/2016,64.64
9/21/2016,65.59
9/22/2016,66.15
9/23/2016,65.1
9/26/2016,64.61
9/27/2016,64.93
9/28/2016,65.81
9/29/2016,65.35
9/30/2016,65.57
10/3/2016,65.45
10/4/2016,63.9
10/5/2016,63.85
10/6/2016,63.63
10/7/2016,63.15
10/10/2016,63.65
10/11/2016,63.41
10/12/2016,63.57
10/13/2016,64.01
10/14/2016,64.29
10/17/2016,64.47
10/18/2016,64.95
10/19/2016,64.94
10/20/2016,64.65
10/21/2016,64.17
10/24/2016,64.43
10/25/2016,64.51
10/26/2016,64.79
10/27/2016,64.96
10/28/2016,63.77
10/31/2016,63.6
11/1/2016,63.39
11/2/2016,63
11/3/2016,63.08
11/4/2016,62.52
11/7/2016,63.52
11/8/2016,63.88
11/9/2016,63.93
11/10/2016,63.9
11/11/2016,63.53
11/14/2016,63.93
11/15/2016,64.64
11/16/2016,64.55
11/17/2016,64.86
11/18/2016,65.01
11/21/2016,65.91
11/22/2016,65.71
11/23/2016,65.96
11/25/2016,66.02
11/28/2016,66.22
11/29/2016,66.35
11/30/2016,65.86
12/1/2016,66.57
12/2/2016,67.01
12/5/2016,67.48
12/6/2016,69.33
12/7/2016,70.35
12/8/2016,72.02
12/9/2016,72.99
12/12/2016,73.06
12/13/2016,73.51
12/14/2016,72.42
12/15/2016,72.39
12/16/2016,72.62
12/19/2016,72.01
12/20/2016,72.52
12/21/2016,72.39
12/22/2016,72.17
12/23/2016,71.84
12/27/2016,71.96
12/28/2016,71.7
12/29/2016,71.82
12/30/2016,71.92
1/3/2017,72.25
1/4/2017,73.2
1/5/2017,73.84
1/6/2017,73.78
1/9/2017,73.58
1/10/2017,73.86
1/11/2017,75.01
1/12/2017,74.62
1/13/2017,74.64
1/17/2017,74.82
1/18/2017,73.49
1/19/2017,73.64
1/20/2017,73.98
1/23/2017,74.54
1/24/2017,75.46
1/25/2017,76.73
1/26/2017,76.86
1/27/2017,76.73
1/30/2017,75.52
1/31/2017,75.63
2/1/2017,75.31
2/2/2017,75.46
2/3/2017,75.98
2/6/2017,75.39
2/7/2017,75.12
2/8/2017,75.35
2/9/2017,75.76
2/10/2017,76.52
2/13/2017,77.03
2/14/2017,77
2/15/2017,77.47
2/16/2017,77.54
2/17/2017,77.47
2/21/2017,77.24
2/22/2017,77.34
2/23/2017,77.53
2/24/2017,76.4
2/27/2017,75.82
2/28/2017,75.63
3/1/2017,76.44
3/2/2017,77.12
3/3/2017,76.89
3/6/2017,77.04
3/7/2017,77.15
3/8/2017,76.39
3/9/2017,75.97
3/10/2017,76.56
3/13/2017,76.74
3/14/2017,76.03
3/15/2017,76.03
3/16/2017,76.1
3/17/2017,75.66
3/20/2017,74.92
3/21/2017,73.82
3/22/2017,73.86
3/23/2017,74.29
3/24/2017,74.26
3/27/2017,74.21
3/28/2017,74.66
3/29/2017,75.08
3/30/2017,74.81
3/31/2017,74.79
4/3/2017,74.57
4/4/2017,74.56
4/5/2017,74.2
4/6/2017,74.44
4/7/2017,74.75
4/10/2017,74.96
4/11/2017,74.12
4/12/2017,74.1
4/13/2017,73.05
4/17/2017,74.01
4/18/2017,73.28
4/19/2017,72.84
4/20/2017,73.48
4/21/2017,73.1
4/24/2017,74.05
4/25/2017,74.29
4/26/2017,73.29
4/27/2017,70.89
4/28/2017,70.85
5/1/2017,70.53
5/2/2017,69.91
5/3/2017,69.83
5/4/2017,69.37
5/5/2017,70.54
5/8/2017,70.47
5/9/2017,69.72
5/10/2017,70.06
5/11/2017,69.02
5/12/2017,68.6
5/15/2017,69.41
5/16/2017,69.05
5/17/2017,67.65
5/18/2017,68.23
5/19/2017,69.3
5/22/2017,69.35
5/23/2017,70.29
5/24/2017,68.61
5/25/2017,67.59
5/26/2017,67.79
5/30/2017,67.57
5/31/2017,67.14
6/1/2017,67.64
6/2/2017,67.67
6/5/2017,67.49
6/6/2017,67.41
6/7/2017,66.93
6/8/2017,67.84
6/9/2017,69.75
6/12/2017,69.9
6/13/2017,70.35
6/14/2017,69.74
6/15/2017,70.03
6/16/2017,70.38
6/19/2017,70.93
6/20/2017,70.32
6/21/2017,69.46
6/22/2017,70.67
6/23/2017,70.81
6/26/2017,70.98
6/27/2017,71.6
6/28/2017,73.36
6/29/2017,73.44
6/30/2017,73.44
7/3/2017,73.83
7/5/2017,73.86
7/6/2017,73.83
7/7/2017,74.37
7/10/2017,74.55
7/11/2017,74.62
7/12/2017,76.04
7/13/2017,76.14
7/14/2017,76.61
7/17/2017,76.26
7/18/2017,76.49
7/19/2017,76.73
7/20/2017,76.87
7/21/2017,76.82
7/24/2017,76.98
7/25/2017,76.94
7/26/2017,76.92
7/27/2017,76.23
7/28/2017,75.71
7/31/2017,75.87
8/1/2017,75.78
8/2/2017,75.72
8/3/2017,75.32
8/4/2017,74.83
8/7/2017,74.67
8/8/2017,74.9
8/9/2017,74.1
8/10/2017,72.94
8/11/2017,72.52
8/14/2017,73.14
8/15/2017,72.7
8/16/2017,73.05
8/17/2017,72.36
8/18/2017,72.76
8/21/2017,73.1
8/22/2017,72.92
8/23/2017,73.75
8/24/2017,73.63
8/25/2017,74
8/28/2017,73.88
8/29/2017,71.93
8/30/2017,71.44
8/31/2017,71.79
9/1/2017,72.25
9/5/2017,71.93
9/6/2017,72.79
9/7/2017,73.34
9/8/2017,73.99
9/11/2017,74.99
9/12/2017,75.08
9/13/2017,75.45
9/14/2017,75.37
9/15/2017,75.21
9/18/2017,74.69
9/19/2017,74.99
9/20/2017,74.75
9/21/2017,75.18
9/22/2017,75.24
9/25/2017,74.99
9/26/2017,75.08
9/27/2017,74.94
9/28/2017,75.6
9/29/2017,75.71
10/2/2017,76.21
10/3/2017,77.14
10/4/2017,77.26
10/5/2017,77
10/6/2017,76.9
10/9/2017,76.6
10/10/2017,77.4
10/11/2017,78.09
10/12/2017,77.92
10/13/2017,78.13
10/16/2017,77.9
10/17/2017,78.1
10/18/2017,78.66
10/19/2017,78.83
10/20/2017,78.24
10/23/2017,78.22
10/24/2017,78.31
10/25/2017,77.72
10/26/2017,77.81
10/27/2017,78
10/30/2017,77.98
10/31/2017,76.61
11/1/2017,76.68
11/2/2017,77.39
11/3/2017,77.77
11/6/2017,77.97
11/7/2017,77.61
11/8/2017,77.87
11/9/2017,77.78
11/10/2017,77.22
11/13/2017,77.07
11/14/2017,76.91
11/15/2017,76.99
11/16/2017,77.58
11/17/2017,77.56
11/20/2017,77.33
11/21/2017,77.58
11/22/2017,78.35
11/24/2017,78.25
11/27/2017,77.78
11/28/2017,77.7
11/29/2017,77.34
11/30/2017,77.01
12/1/2017,78.37
12/4/2017,78.28
12/5/2017,78.05
12/6/2017,78.68
12/7/2017,78.28
12/8/2017,78.43
12/11/2017,78.36
12/12/2017,78.45
12/13/2017,78.56
12/14/2017,78.61
12/15/2017,78.2
12/18/2017,78.49
12/19/2017,78.55
12/20/2017,78.81
12/21/2017,79.38
12/22/2017,79.22
12/26/2017,79.24
12/27/2017,79.33
12/28/2017,79.94
12/29/2017,80.02
1/2/2018,80.21
1/3/2018,80.34
1/4/2018,81.29
1/5/2018,82.04
1/8/2018,81.89
1/9/2018,82.14
1/10/2018,81.7
1/11/2018,81.74
1/12/2018,82.09
1/16/2018,82.6
1/17/2018,83.16
1/18/2018,83.5
1/19/2018,83.51
1/22/2018,84
1/23/2018,83.97
1/24/2018,84.11
1/25/2018,83.72
1/26/2018,83.96
1/29/2018,83.53
1/30/2018,83.29
1/31/2018,82.31
2/1/2018,82.45
2/2/2018,80.66
2/5/2018,77.54
2/6/2018,78.04
2/7/2018,77.86
2/8/2018,75.63
2/9/2018,75.64
2/12/2018,76.43
2/13/2018,76.56
2/14/2018,77.77
2/15/2018,78.36
2/16/2018,77.69
2/20/2018,77.27
2/21/2018,78.19
2/22/2018,77.64
2/23/2018,78.48
2/26/2018,78.58
2/27/2018,76.89
2/28/2018,76.01
3/1/2018,75.17
3/2/2018,74.9
3/5/2018,74.4
3/6/2018,75.09
3/7/2018,74.85
3/8/2018,75.57
3/9/2018,76.46
3/12/2018,76.54
3/13/2018,75.61
3/14/2018,75.96
3/15/2018,75.53
3/16/2018,75.41
3/19/2018,75.37
3/20/2018,75.9
3/21/2018,77.09
3/22/2018,75.84
3/23/2018,75.24
3/26/2018,75.52
3/27/2018,74.83
3/28/2018,74.66
3/29/2018,75.57
4/2/2018,74.84
4/3/2018,75.12
4/4/2018,75.13
4/5/2018,76.14
4/6/2018,75.47
4/9/2018,76.15
4/10/2018,76.37
4/11/2018,75.49
4/12/2018,75.51
4/13/2018,75.28
4/16/2018,75.7
4/17/2018,75.51
4/18/2018,75.2
4/19/2018,75.02
4/20/2018,74.95
4/23/2018,74.9
4/24/2018,75.41
4/25/2018,75.63
4/26/2018,76.03
4/27/2018,76.67
4/30/2018,75.93
5/1/2018,75.98
5/2/2018,75.97
5/3/2018,75.74
5/4/2018,76.26
5/7/2018,76.43
5/8/2018,76.87
5/9/2018,77.83
5/10/2018,78.66
5/11/2018,78.76
5/14/2018,78.95
5/15/2018,78.6
5/16/2018,79.19
5/17/2018,79.33
5/18/2018,78.42
5/21/2018,78.75
5/22/2018,79.49
5/23/2018,79.27
5/24/2018,78.7
5/25/2018,78.21
5/29/2018,76.55
5/30/2018,77.48
5/31/2018,77.4
6/1/2018,77.35
6/4/2018,77.94
6/5/2018,77.69
6/6/2018,78.23
6/7/2018,78.54
6/8/2018,78.94
6/11/2018,78.27
6/12/2018,78.08
6/13/2018,78.34
6/14/2018,77.73
6/15/2018,77.33
6/18/2018,77.5
6/19/2018,77.02
6/20/2018,77.13
6/21/2018,77.3
6/22/2018,77.76
6/25/2018,76.7
6/26/2018,76.58
6/27/2018,76.11
6/28/2018,76.65
6/29/2018,77.26
7/2/2018,76.79
7/3/2018,77.34
7/5/2018,77.45
7/6/2018,77.95
7/9/2018,78.34
7/10/2018,78.44
7/11/2018,77.61
7/12/2018,78.37
7/13/2018,78.36
7/16/2018,78.84
7/17/2018,78.56
7/18/2018,78.97
7/19/2018,78.14
7/20/2018,78.97
7/23/2018,79.12
7/24/2018,79.03
7/25/2018,79.73
7/26/2018,79.47
7/27/2018,79.63
7/30/2018,79.79
7/31/2018,79.28
8/1/2018,79.24
8/2/2018,79.25
8/3/2018,79.48
8/6/2018,79.43
8/7/2018,78.73
8/8/2018,79.47
8/9/2018,79.87
8/10/2018,78.83
8/13/2018,78.99
8/14/2018,79.82
8/15/2018,79.09
8/16/2018,79.67
8/17/2018,81.06
8/20/2018,81.26
8/21/2018,81.05
8/22/2018,82.08
8/23/2018,81.21
8/24/2018,81.45
8/27/2018,81.97
8/28/2018,82.15
8/29/2018,83.13
8/30/2018,82.95
8/31/2018,81.96
9/4/2018,81.41
9/5/2018,81.82
9/6/2018,82.07
9/7/2018,81.66
9/10/2018,81.42
9/11/2018,81.7
9/12/2018,81.65
9/13/2018,81.28
9/14/2018,81.63
9/17/2018,81.95
9/18/2018,82.75
9/19/2018,83.09
9/20/2018,83.41
9/21/2018,83.81
9/24/2018,83.66
9/25/2018,83.44
9/26/2018,82.86
9/27/2018,82.76
9/28/2018,82.53
10/1/2018,83.41
10/2/2018,82.83
10/3/2018,83.04
10/4/2018,82.42
10/5/2018,81.58
10/8/2018,81.33
10/9/2018,81.55
10/10/2018,80.25
10/11/2018,79.2
10/12/2018,78.92
10/15/2018,79.25
10/16/2018,80.19
10/17/2018,79.99
10/18/2018,79.27
10/19/2018,79.04
10/22/2018,78.55
10/23/2018,78.36
10/24/2018,76.33
10/25/2018,76.27
10/26/2018,75.53
10/29/2018,74.42
10/30/2018,75.52
10/31/2018,74.74
11/1/2018,75.28
11/2/2018,75.13
11/5/2018,75.52
11/6/2018,75.74
11/7/2018,75.73
11/8/2018,75.57
11/9/2018,74.83
11/12/2018,74.53
11/13/2018,74.77
11/14/2018,74.76
11/15/2018,75.41
11/16/2018,75.3
11/19/2018,74.31
11/20/2018,72.74
11/21/2018,73.83
11/23/2018,73.48
11/26/2018,73.51
11/27/2018,73.75
11/28/2018,75.18
11/29/2018,74.76
11/30/2018,74.5
12/3/2018,74.88
12/4/2018,71.84
12/6/2018,70.23
12/7/2018,69.76
12/10/2018,68.75
12/11/2018,68.14
12/12/2018,68.18
12/13/2018,67.58
12/14/2018,67.14
12/17/2018,66.35
12/18/2018,66.52
12/19/2018,66.02
12/20/2018,65.65
12/21/2018,64.11
12/24/2018,63.51
12/26/2018,65.27
12/27/2018,65.17
12/28/2018,65.07
12/31/2018,65.35
1/2/2019,65.94
1/3/2019,65.83
1/4/2019,67.28
1/7/2019,67.55
1/8/2019,68.34
1/9/2019,69.43
1/10/2019,69.83
1/11/2019,69.92
1/14/2019,69.82
1/15/2019,70.6
1/16/2019,71.54
1/17/2019,72.11
