Date,Close
1/4/2016,39.86
1/5/2016,40.14
1/6/2016,39.17
1/7/2016,38.53
1/8/2016,38.55
1/11/2016,38.07
1/12/2016,37.91
1/13/2016,36.94
1/14/2016,37.32
1/15/2016,36
1/19/2016,36.55
1/20/2016,35.8
1/21/2016,36.91
1/22/2016,38.45
1/25/2016,37.08
1/26/2016,37.82
1/27/2016,38.47
1/28/2016,40.15
1/29/2016,40.84
2/1/2016,40.45
2/2/2016,39.59
2/3/2016,40.5
2/4/2016,41.34
2/5/2016,40.86
2/8/2016,39.98
2/9/2016,38.99
2/10/2016,37.78
2/11/2016,37.36
2/12/2016,38.98
2/16/2016,39.66
2/17/2016,41.02
2/18/2016,40.97
2/19/2016,40.66
2/22/2016,40.52
2/23/2016,39.8
2/24/2016,39.13
2/25/2016,39.55
2/26/2016,39.96
2/29/2016,40
3/1/2016,43.13
3/2/2016,43.02
3/3/2016,43.74
3/4/2016,44.66
3/7/2016,45.61
3/8/2016,45.65
3/9/2016,46.64
3/10/2016,46.15
3/11/2016,47.08
3/14/2016,46.78
3/15/2016,46.66
3/16/2016,47.58
3/17/2016,49.17
3/18/2016,48.73
3/21/2016,48.64
3/22/2016,48.68
3/23/2016,47.86
3/24/2016,47.06
3/28/2016,47.7
3/29/2016,48.39
3/30/2016,49.02
3/31/2016,48.86
4/1/2016,48.19
4/4/2016,47.76
4/5/2016,47.11
4/6/2016,47.32
4/7/2016,46.63
4/8/2016,47.6
4/11/2016,47.69
4/12/2016,49.05
4/13/2016,49.6
4/14/2016,49.69
4/15/2016,49.51
4/18/2016,49.75
4/19/2016,50.83
4/20/2016,51.59
4/21/2016,51.08
4/22/2016,51.55
4/25/2016,51.19
4/26/2016,51.63
4/27/2016,51.86
4/28/2016,51.96
4/29/2016,52.45
5/2/2016,52
5/3/2016,49.88
5/4/2016,48.73
5/5/2016,48.1
5/6/2016,48.12
5/9/2016,47.62
5/10/2016,48.29
5/11/2016,48.85
5/12/2016,49.04
5/13/2016,48.42
5/16/2016,48.86
5/17/2016,48.67
5/18/2016,48.55
5/19/2016,47.88
5/20/2016,48.1
5/23/2016,48.29
5/24/2016,48.5
5/25/2016,49.67
5/26/2016,49.77
5/27/2016,49.89
5/31/2016,48.93
6/1/2016,49.69
6/2/2016,49.99
6/3/2016,50.56
6/6/2016,51.43
6/7/2016,52.54
6/8/2016,52.66
6/9/2016,52.14
6/10/2016,51.13
6/13/2016,50.77
6/14/2016,50.25
6/15/2016,49.72
6/16/2016,49.57
6/17/2016,50.02
6/20/2016,50.8
6/21/2016,50.89
6/22/2016,50.54
6/23/2016,51.39
6/24/2016,49.26
6/27/2016,48.04
6/28/2016,48.94
6/29/2016,49.76
6/30/2016,49.01
7/1/2016,49.41
7/5/2016,48.65
7/6/2016,48.7
7/7/2016,48.32
7/8/2016,48.6
7/11/2016,48.74
7/12/2016,49.58
7/13/2016,50.05
7/14/2016,50.55
7/15/2016,50.76
7/18/2016,50.61
7/19/2016,50.35
7/20/2016,50.49
7/21/2016,50.25
7/22/2016,50.23
7/25/2016,49.77
7/26/2016,50.23
7/27/2016,50.28
7/28/2016,50.44
7/29/2016,50.77
8/1/2016,49.96
8/2/2016,50.12
8/3/2016,50.25
8/4/2016,50.28
8/5/2016,50.36
8/8/2016,50.65
8/9/2016,50.98
8/10/2016,51.09
8/11/2016,51.59
8/12/2016,51.53
8/15/2016,51.69
8/16/2016,51.75
8/17/2016,51.89
8/18/2016,52.09
8/19/2016,51.65
8/22/2016,51.47
8/23/2016,52.21
8/24/2016,53.06
8/25/2016,53.25
8/26/2016,53
8/29/2016,52.86
8/30/2016,53.46
8/31/2016,53.22
9/1/2016,53.62
9/2/2016,54.33
9/6/2016,54.95
9/7/2016,54.79
9/8/2016,54.39
9/9/2016,53.48
9/12/2016,53.35
9/13/2016,52.09
9/14/2016,52.18
9/15/2016,53.26
9/16/2016,52.9
9/19/2016,53.01
9/20/2016,53.31
9/21/2016,53.97
9/22/2016,54.44
9/23/2016,53.49
9/26/2016,53.26
9/27/2016,53.09
9/28/2016,53.99
9/29/2016,53.66
9/30/2016,52.99
10/3/2016,52.97
10/4/2016,52.63
10/5/2016,52.95
10/6/2016,52.78
10/7/2016,52.32
10/10/2016,52.83
10/11/2016,52.77
10/12/2016,52.81
10/13/2016,53.17
10/14/2016,53.42
10/17/2016,53.4
10/18/2016,53.93
10/19/2016,54
10/20/2016,53.72
10/21/2016,53.46
10/24/2016,53.62
10/25/2016,53.77
10/26/2016,53.63
10/27/2016,53.96
10/28/2016,53.85
10/31/2016,53.76
11/1/2016,53.79
11/2/2016,53.27
11/3/2016,53.51
11/4/2016,52.89
11/7/2016,53.68
11/8/2016,54.28
11/9/2016,53.52
11/10/2016,53.2
11/11/2016,52.45
11/14/2016,51.58
11/15/2016,52.37
11/16/2016,52.52
11/17/2016,53.04
11/18/2016,53.28
11/21/2016,54.2
11/22/2016,54.02
11/23/2016,53.82
11/25/2016,53.94
11/28/2016,53.94
11/29/2016,54.88
11/30/2016,55.25
12/1/2016,55.64
12/2/2016,56.01
12/5/2016,55.99
12/6/2016,56.2
12/7/2016,57.11
12/8/2016,57.76
12/9/2016,58.32
12/12/2016,58.28
12/13/2016,58.7
12/14/2016,57.69
12/15/2016,57.34
12/16/2016,56.94
12/19/2016,56.69
12/20/2016,56.81
12/21/2016,56.55
12/22/2016,56.48
12/23/2016,56.19
12/27/2016,56.3
12/28/2016,56.22
12/29/2016,55.83
12/30/2016,55.68
1/3/2017,56.38
1/4/2017,57.44
1/5/2017,57.79
1/6/2017,57.88
1/9/2017,57.69
1/10/2017,58.18
1/11/2017,58.95
1/12/2017,58.78
1/13/2017,59.11
1/17/2017,58.74
1/18/2017,57.66
1/19/2017,57.64
1/20/2017,58.07
1/23/2017,58.45
1/24/2017,59.24
1/25/2017,59.9
1/26/2017,60.01
1/27/2017,59.88
1/30/2017,59.64
1/31/2017,59.78
2/1/2017,59.73
2/2/2017,59.7
2/3/2017,60.18
2/6/2017,59.78
2/7/2017,60.06
2/8/2017,60.44
2/9/2017,60.73
2/10/2017,61.36
2/13/2017,61.57
2/14/2017,61.76
2/15/2017,62.34
2/16/2017,62.69
2/17/2017,62.47
2/21/2017,62.29
2/22/2017,62.2
2/23/2017,62.26
2/24/2017,61.29
2/27/2017,60.96
2/28/2017,58.19
3/1/2017,59.06
3/2/2017,58.7
3/3/2017,59.8
3/6/2017,59.78
3/7/2017,59.62
3/8/2017,58.88
3/9/2017,58.56
3/10/2017,58.66
3/13/2017,59.28
3/14/2017,58.61
3/15/2017,58.75
3/16/2017,58.8
3/17/2017,58.37
3/20/2017,57.87
3/21/2017,57.1
3/22/2017,57.71
3/23/2017,57.99
3/24/2017,58.14
3/27/2017,58.59
3/28/2017,59.03
3/29/2017,59.47
3/30/2017,59.55
3/31/2017,58.57
4/3/2017,58.33
4/4/2017,58.24
4/5/2017,58.18
4/6/2017,58.7
4/7/2017,58.24
4/10/2017,58.27
4/11/2017,58.09
4/12/2017,57.83
4/13/2017,57.01
4/17/2017,57.95
4/18/2017,57.24
4/19/2017,56.65
4/20/2017,56.98
4/21/2017,56.89
4/24/2017,57.73
4/25/2017,57.79
4/26/2017,56.87
4/27/2017,55.32
4/28/2017,55.63
5/1/2017,55.4
5/2/2017,55.21
5/3/2017,55.13
5/4/2017,54.65
5/5/2017,56.19
5/8/2017,55.95
5/9/2017,55.29
5/10/2017,55.98
5/11/2017,55.36
5/12/2017,54.9
5/15/2017,55.48
5/16/2017,55.68
5/17/2017,54.5
5/18/2017,54.66
5/19/2017,55.79
5/22/2017,56.01
5/23/2017,56.36
5/24/2017,56.37
5/25/2017,56.16
5/26/2017,56.4
5/30/2017,56.87
5/31/2017,56.49
6/1/2017,56.73
