Date,Close
1/4/2016,32.87
1/5/2016,32.83
1/6/2016,32.41
1/7/2016,31.8
1/8/2016,31.5
1/11/2016,31.19
1/12/2016,31.16
1/13/2016,30.19
1/14/2016,30.12
1/15/2016,29.21
1/19/2016,29.47
1/20/2016,28.77
1/21/2016,29.61
1/22/2016,31.11
1/25/2016,29.99
1/26/2016,30.87
1/27/2016,31.09
1/28/2016,32.09
1/29/2016,32.42
2/1/2016,32.42
2/2/2016,31.74
2/3/2016,32.34
2/4/2016,32.7
2/5/2016,32.2
2/8/2016,31.76
2/9/2016,31.06
2/10/2016,30.41
2/11/2016,29.93
2/12/2016,31.36
2/16/2016,32.05
2/17/2016,33.15
2/18/2016,33.14
2/19/2016,32.88
2/22/2016,32.81
2/23/2016,32.41
2/24/2016,31.99
2/25/2016,33.15
2/26/2016,33.28
2/29/2016,33.15
3/1/2016,34.09
3/2/2016,34.35
3/3/2016,34.6
3/4/2016,34.83
3/7/2016,35.42
3/8/2016,35.49
3/9/2016,36.1
3/10/2016,35.85
3/11/2016,36.66
3/14/2016,36.65
3/15/2016,36.48
3/16/2016,37
3/17/2016,38.07
3/18/2016,37.74
3/21/2016,37.63
3/22/2016,37.74
3/23/2016,36.52
3/24/2016,36.18
3/28/2016,36.58
3/29/2016,37.24
3/30/2016,37.73
3/31/2016,37.35
4/1/2016,37.49
4/4/2016,37.02
4/5/2016,36.7
4/6/2016,36.73
4/7/2016,36.22
4/8/2016,37.07
4/11/2016,37.32
4/12/2016,38.11
4/13/2016,38.28
4/14/2016,38.37
4/15/2016,38.35
4/18/2016,38.55
4/19/2016,39.42
4/20/2016,39.85
4/21/2016,39.46
4/22/2016,39.6
4/25/2016,39.53
4/26/2016,40.08
4/27/2016,40.19
4/28/2016,40.51
4/29/2016,40.39
5/2/2016,40.09
5/3/2016,38.9
5/4/2016,38.02
5/5/2016,38.18
5/6/2016,38.16
5/9/2016,38.18
5/10/2016,38.78
5/11/2016,39.1
5/12/2016,39.38
5/13/2016,39.1
5/16/2016,39.31
5/17/2016,38.99
5/18/2016,38.95
5/19/2016,38.46
5/20/2016,38.66
5/23/2016,38.72
5/24/2016,39.1
5/25/2016,39.72
5/26/2016,39.42
5/27/2016,39.2
5/31/2016,38.81
6/1/2016,39.01
6/2/2016,39
6/3/2016,39.57
6/6/2016,40.08
6/7/2016,40.77
6/8/2016,41.04
6/9/2016,40.71
6/10/2016,40.27
6/13/2016,39.83
6/14/2016,39.44
6/15/2016,39.2
6/16/2016,39.05
6/17/2016,39.51
6/20/2016,39.84
6/21/2016,40.26
6/22/2016,40.09
6/23/2016,40.7
6/24/2016,38.53
6/27/2016,37.82
6/28/2016,38.56
6/29/2016,37.71
6/30/2016,37.53
7/1/2016,37.34
7/5/2016,37.16
7/6/2016,37.46
7/7/2016,37.19
7/8/2016,37.27
7/11/2016,37.35
7/12/2016,37.83
7/13/2016,38.01
7/14/2016,38.01
7/15/2016,38.09
7/18/2016,38.05
7/19/2016,37.78
7/20/2016,37.98
7/21/2016,37.92
7/22/2016,37.97
7/25/2016,37.7
7/26/2016,37.98
7/27/2016,37.6
7/28/2016,37.65
7/29/2016,37.98
8/1/2016,37.49
8/2/2016,37.23
8/3/2016,37.49
8/4/2016,37.66
8/5/2016,37.71
8/8/2016,37.94
8/9/2016,38.26
8/10/2016,38.39
8/11/2016,38.81
8/12/2016,38.72
8/15/2016,38.88
8/16/2016,38.96
8/17/2016,38.89
8/18/2016,39.09
8/19/2016,38.91
8/22/2016,38.78
8/23/2016,39.35
8/24/2016,39.42
8/25/2016,39.88
8/26/2016,39.96
8/29/2016,40.04
8/30/2016,39.89
8/31/2016,39.64
9/1/2016,39.85
9/2/2016,40.13
9/6/2016,40.38
9/7/2016,40.24
9/8/2016,40.05
9/9/2016,39.38
9/12/2016,39.15
9/13/2016,38.41
9/14/2016,38.42
9/15/2016,38.66
9/16/2016,38.17
9/19/2016,38.21
9/20/2016,38.33
9/21/2016,39.07
9/22/2016,39.36
9/23/2016,38.85
9/26/2016,37.98
9/27/2016,38.1
9/28/2016,38.62
9/29/2016,38.39
9/30/2016,38.77
10/3/2016,38.49
10/4/2016,37.92
10/5/2016,37.91
10/6/2016,37.72
10/7/2016,37.56
10/10/2016,37.82
10/11/2016,37.59
10/12/2016,37.73
10/13/2016,37.97
10/14/2016,38.14
10/17/2016,38.15
10/18/2016,38.53
10/19/2016,38.48
10/20/2016,38.08
10/21/2016,37.76
10/24/2016,37.62
10/25/2016,37.64
10/26/2016,37.62
10/27/2016,37.66
10/28/2016,37.72
10/31/2016,37.48
11/1/2016,37.08
11/2/2016,36.48
11/3/2016,36.63
11/4/2016,36.61
11/7/2016,37.29
11/8/2016,37.54
11/9/2016,37.75
11/10/2016,37.92
11/11/2016,37.67
11/14/2016,37.91
11/15/2016,38.37
11/16/2016,38.32
11/17/2016,38.37
11/18/2016,38.52
11/21/2016,39.1
11/22/2016,39.09
11/23/2016,39.04
11/25/2016,39.17
11/28/2016,39.29
11/29/2016,39.47
11/30/2016,39.34
12/1/2016,40.69
12/2/2016,40.85
12/5/2016,40.98
12/6/2016,41.21
12/7/2016,41.85
12/8/2016,42.36
12/9/2016,42.5
12/12/2016,42.43
12/13/2016,42.64
12/14/2016,41.94
12/15/2016,41.83
12/16/2016,41.59
12/19/2016,41.47
12/20/2016,41.78
12/21/2016,41.72
12/22/2016,41.59
12/23/2016,40.97
12/27/2016,40.99
12/28/2016,40.88
12/29/2016,40.91
12/30/2016,40.8
1/3/2017,41.23
1/4/2017,41.97
1/5/2017,42.22
1/6/2017,42.19
1/9/2017,42.07
1/10/2017,41.85
1/11/2017,42.14
1/12/2017,42.21
1/13/2017,42.34
1/17/2017,42.27
1/18/2017,41.76
1/19/2017,41.83
1/20/2017,41.96
1/23/2017,41.93
1/24/2017,42.51
1/25/2017,43.01
1/26/2017,43.15
1/27/2017,43.08
1/30/2017,42.78
1/31/2017,42.6
2/1/2017,42.93
2/2/2017,42.86
2/3/2017,43.33
2/6/2017,43.27
2/7/2017,43.26
2/8/2017,43.27
2/9/2017,43.61
2/10/2017,43.96
2/13/2017,44.15
2/14/2017,44.31
2/15/2017,44.5
2/16/2017,44.55
2/17/2017,44.48
2/21/2017,44.73
2/22/2017,44.95
2/23/2017,45.55
2/24/2017,45.22
2/27/2017,45.02
2/28/2017,44
3/1/2017,44.4
3/2/2017,44.42
3/3/2017,44.57
3/6/2017,44.59
3/7/2017,44.65
3/8/2017,44.41
3/9/2017,44.33
3/10/2017,44.31
3/13/2017,44.26
3/14/2017,44.16
3/15/2017,44.3
3/16/2017,44.27
3/17/2017,44.1
3/20/2017,43.86
3/21/2017,43.51
3/22/2017,43.54
3/23/2017,44.17
3/24/2017,43.34
3/27/2017,43.47
3/28/2017,43.83
3/29/2017,43.96
3/30/2017,42.66
3/31/2017,43.11
4/3/2017,43.21
4/4/2017,43.23
4/5/2017,42.77
4/6/2017,43.06
4/7/2017,43.09
4/10/2017,43.05
4/11/2017,43.08
4/12/2017,42.71
4/13/2017,42.08
4/17/2017,42.4
4/18/2017,41.91
4/19/2017,41.48
4/20/2017,41.75
4/21/2017,41.43
4/24/2017,41.85
4/25/2017,41.79
4/26/2017,40.77
4/27/2017,40.31
4/28/2017,40.42
5/1/2017,40.08
5/2/2017,39.78
5/3/2017,39.79
5/4/2017,39.03
5/5/2017,39.78
5/8/2017,39.77
5/9/2017,39.47
5/10/2017,39.8
5/11/2017,39.19
5/12/2017,39.06
5/15/2017,39.52
5/16/2017,39.42
5/17/2017,38.99
5/18/2017,38.96
5/19/2017,39.43
5/22/2017,39.48
5/23/2017,39.59
5/24/2017,39.61
5/25/2017,39.04
5/26/2017,39.15
5/30/2017,39.12
5/31/2017,39.03
6/1/2017,39.08
6/2/2017,39.13
6/5/2017,39.14
6/6/2017,39.1
6/7/2017,38.81
6/8/2017,39.05
6/9/2017,39.9
6/12/2017,40.03
6/13/2017,40.08
6/14/2017,39.85
