Date,Close
1/4/2016,21.09
1/5/2016,21.14
1/7/2016,20.43
1/11/2016,20.39
1/12/2016,20.47
1/13/2016,19.97
1/14/2016,20.08
1/15/2016,19.49
1/18/2016,19.47
1/19/2016,19.73
1/20/2016,19.27
1/21/2016,19.6
1/22/2016,20.33
1/25/2016,19.75
1/26/2016,19.88
1/27/2016,20.18
1/28/2016,20.79
1/29/2016,21
2/1/2016,20.81
2/2/2016,20.52
2/3/2016,20.58
2/4/2016,20.89
2/5/2016,20.82
2/8/2016,20.37
2/9/2016,19.9
2/10/2016,19.54
2/11/2016,19.26
2/12/2016,19.93
2/16/2016,20.35
2/17/2016,20.75
2/18/2016,20.79
2/19/2016,20.7
2/22/2016,20.59
2/23/2016,20.34
2/24/2016,19.89
2/25/2016,20
2/26/2016,20.18
2/29/2016,20.27
3/1/2016,20.78
3/2/2016,20.81
3/3/2016,21.02
3/4/2016,21.19
3/7/2016,21.43
3/8/2016,21.64
3/9/2016,21.8
3/10/2016,21.78
3/11/2016,22.01
3/14/2016,22.05
3/15/2016,22.11
3/16/2016,22.13
3/17/2016,22.55
3/18/2016,22.43
3/21/2016,22.49
3/22/2016,22.46
3/23/2016,22.35
3/24/2016,22.03
3/28/2016,22.18
3/29/2016,22.23
3/30/2016,22.42
3/31/2016,22.29
4/1/2016,22.33
4/4/2016,22.28
4/5/2016,22.15
4/6/2016,22.09
4/7/2016,21.86
4/8/2016,22.1
4/11/2016,22.14
4/12/2016,22.38
4/13/2016,22.65
4/14/2016,22.78
4/15/2016,22.8
4/18/2016,22.82
4/19/2016,23.06
4/20/2016,23.24
4/21/2016,23.13
4/22/2016,23.16
4/25/2016,23.07
4/26/2016,23.1
4/27/2016,23.17
4/28/2016,23.09
4/29/2016,23.15
5/2/2016,23.04
5/3/2016,22.62
5/4/2016,22.49
5/5/2016,22.39
5/6/2016,22.39
5/9/2016,22.27
5/10/2016,22.53
5/11/2016,22.61
5/12/2016,22.72
5/13/2016,22.67
5/16/2016,22.75
5/17/2016,22.66
5/18/2016,22.88
